
{Z-NL  +02 D   +02 DK  +02 S   +02
  2,   45,   10,    13.0,   0.08,   97.5, SF,  -,    SF,   0.26,  , 10.27, 10.35,           ,  43388.0, t-, jct Kemi-Tornio                                 , Kemi
  2,   46,   10,    87.0,   0.50,  104.4, S,   E,    SF,   0.22,  , 10.57, 11.47,           ,  25024.0, t-, Kemi                                            , ~Haukipudas
  2,   47,   10,    18.0,   0.17,   63.5, SF,  -,    SF,   0.15,  , 12.02, 12.19,           ,  44317.0, t-, ~Haukipudas                                     , Oulu
  2,   48,   10,    27.0,   0.23,   70.4, SF,  V,    SF,   2.07,  , 14.26, 14.49,           ,  68392.0, t-, Oulu                                            , exit Paavola
  2,   49,   10,   300.9,   4.14,   71.1, SF,  T,    SF,   1.00,  , 15.49, 21.17,           , 178559.2, t-, exit Paavola                                    , Vaasa
  2,   49,  ! 1,        ,       ,       ,  ,   !R,    ,        , !, 17.15, 18.11,
  2,   49,  ! 2,        ,       ,       ,  ,   !D,    ,        , !, 20.15, 20.33,

  2,   50,   10,     2.0,   0.03,   40.0, SF,  -,    SF,   0.28,  , 21.45, 21.48,           ,  73468.0, t-, Vaasa                                           , Vaasa YH

  2,   51,   11,    24.1,   0.16,   90.4, SF,  -,    SF,       ,  ,  9.53, 10.09, 1982-06-25,  97699.7, t-, Vaasa                                           , Laihia
{I I
  2,   52,   11,    42.0,   0.32,   78.8, SF,  -,    SF,   1.37,  , 11.46, 12.18,           ,  78840.0, t-, Laihia                                          , Panttila
  2,   53,   11,     5.0,   0.05,   60.0, SF,  -,    SF,   0.06,  , 12.24, 12.29,           ,  10621.0, t-, Panttila                                        , Kurikka
  2,   54,   11,     8.0,   0.05,   96.0, SF,  -,    SF,   0.42,  , 13.11, 13.16,           ,  45977.0, t-, Kurikka                                         , Luopa
  2,   55,   11,    14.1,   0.11,   76.9, SF,  F,    SF,   0.09,  , 13.25, 13.36,           ,    226.2, t-, Luopa                                           , Jalasjärvi
  2,   56,   11,   322.0,   3.18,   97.6, SF,  -,    SF,   0.29,  , 14.05, 17.33,           ,  67615.0, t-, Jalasjärvi                                     , Helsinki Ring III
  2,   56,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 16.09, 16.19,

  2,   57,   11,    14.0,   0.12,   70.0, SF,  -,    SF,   0.07,  , 17.40, 17.52,           ,  79295.0, t-, Helsinki Ring III                               , Helsinki

  2,   58,   12,    37.0,   0.21,  105.7, SF,  -,    SF,       ,  , 10.25, 10.46, 1982-06-30,  67789.9, t-, Helsinki                                        , exit Lohja/end of motorway
  2,   59,   12,   105.9,   1.13,   87.0, SF,  -,    SF,   0.14,  , 11.00, 12.25,           ,  43261.1, t-, exit Lohja/end of motorway                      , Piikkiö
  2,   59,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 11.48, 12.00,

  2,   60,   12,    15.4,   0.13,   71.1, SF,  B,    SF,   0.54,  , 13.19, 13.32,           ,  18920.1, t-, Piikkiö                                        , Turku

  2,   61,   13,    14.4,   0.07,  123.4, S,   -,    S,        ,  ,  8.43,  8.50, 1982-07-05,    117.1, tR, Stockholm Hallunda                              , Södertälje
{I F
  2,   62,   13,    13.8,   0.09,   92.0, S,   -,    S,    0.28,  ,  9.18,  9.27,           ,      2.2, t-, Södertälje                                    , Järna
  2,   63,   13,    52.7,   0.39,   81.1, S,   -,    S,    0.38,  , 10.05, 10.44,           ,     34.7, t-, Järna                                          , Nyköping
  2,   64,   13,    27.0,   0.20,   81.0, S,   E,    S,    2.47,  , 13.31, 13.51,           , 118206.0, t-, Nyköping                                       , ~Ålberga
  2,   65,   13,    33.0,   0.22,   90.0, S,   -,    S,    0.49,  , 14.40, 15.02,           ,    123.8, t-, ~Ålberga                                       , Norrköping
  2,   66,   13,    39.4,   0.25,   94.6, S,   -,    S,    1.19,  , 16.21, 16.46,           ,    284.0, t-, Norrköping                                     , Linköping
  2,   67,   13,    45.6,   0.26,  105.2, S,   -,    S,    0.54,  , 17.40, 18.06,           ,    220.5, t-, Linköping                                      , exit Väderstad
  2,   68,   13,    80.0,   0.40,  120.0, S,   -,    S,    2.33,  , 20.39, 21.19,           ,    143.0, t-, exit Väderstad                                 , Jönköping

  2,   69,   14,    30.7,   0.23,   80.1, S,   -,    S,        ,  ,  9.28,  9.51, 1982-07-06,     79.8, t-, Jönköping                                     , Vaggeryd
  2,   70,   14,    35.9,   0.29,   74.3, S,   V,    S,    1.19,  , 11.10, 11.39,           ,    891.7, t-, Vaggeryd                                        , Värnamo
  2,   71,   14,    30.8,   0.22,   84.0, S,   -,    S,    1.07,  , 12.46, 13.08,           ,   3961.4, t-, Värnamo                                        , Lagan
  2,   72,   14,     8.2,   0.08,   61.5, S,   E,    S,    0.53,  , 14.01, 14.09,           ,  56755.1, t-, Lagan                                           , Ljungby
  2,   73,   14,   127.9,   1.22,   93.6, S,   -,    S,    0.56,  , 15.05, 16.48,           ,    736.3, t-, Ljungby                                         , Helsingborg
  2,   73,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 15.51, 16.12,

  2,   74,   14,    63.7,   0.35,  109.2, S,   -,    S,    1.08,  , 17.56, 18.31,           ,    457.5, t-, Helsingborg                                     , Malmö
  2,   75,   14,     5.9,   0.07,   50.6, S,   -,    S,    0.47,  , 19.18, 19.25,           ,    612.7, t-, Malmö                                          , Malmö YH

  2,   76,   15,     5.3,   0.12,   26.5, S,   -,    S,        ,  ,  8.17,  8.29, 1982-07-07,    268.4, i-, Malmö YH                                       , Malmö (Ferry)

  2,   77,   16,     9.0,   0.06,   90.0, DK,  B,    DK,       ,  ,  9.40,  9.46, 1982-07-08,  23290.0, t-, København                                      , Border Storkøbenhavn
{I F
  2,   78,   16,    94.9,   1.08,   83.7, DK,  -,    DK,   0.07,  ,  9.53, 11.03,           ,  75738.8, t-, Border Storkøbenhavn                           , Orehoved
  2,   78,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 10.30, 10.32,

  2,   79,   16,   143.0,   1.45,   81.7, D,   F,    *,        ,  , 11.51, 15.42,           ,  51520.0, t-, Orehoved                                        , exit Lübeck Moisling
  2,   79,  16a,    52.0,   0.43,       , D,   F,    DK,   0.48, *,      ,      ,
  2,   79,  16b,    91.0,   1.02,       , D,   F,    D,        , *,      ,      ,
  2,   79,  ! 1,        ,       ,       ,  ,   !B,   DK,       , !, 12:34, 14.40,

  2,   80,   16,    53.0,   0.37,   85.9, D,   B,    D,    0.28,  , 16.10, 16.47,           ,   4797.0, t-, exit Lübeck Moisling                           , exit Hamburg Billstedt
  2,   81,   16,   283.0,   3.02,   93.3, D,   T,    D,    1.11,  , 17.58, 21.00,           ,  57667.0, t-, exit Hamburg Billstedt                          , Raststätte Münsterland West

  2,   82,    #,   633.1,   4.50,  131.0, D,   -,    D,    0.39,  , 21.39,      ,           ,  69282.6, tR, Raststätte Münsterland West                   , Parking Fürholzen West
  2,   82,   16,   277.3,   2.07,       , D,   -,     ,        , #,      ,      ,
  2,   82,   17,   355.8,   2.43,       , D,   -,     ,        , #,      ,  4.12, 1982-07-09
  2,   82,  ! 1,        ,       ,       ,  ,    ,     ,        , !, 22.47, 23.00,
  2,   82,  ! 2,        ,       ,       ,  ,    ,     ,        , !, 23.14, 23.15,
  2,   82,  ! 3,        ,       ,       ,  ,   !M,    ,        , !,  0.54,  2.23,

  2,   83,   17,    11.6,   0.06,  116.0, TR,  -,    D,    2.12,  ,  6.24,  6.30,           ,    233.0, tP, Parking Fürholzen West                         , Kreuz München Nord
  2,   84,   17,     6.0,   0.08,   45.0, D,   B,    D,    0.52,  ,  7.22,  7.30,           ,  96291.0, t-, Dirnismaning                                    , München
{I W
  2,   85,   17,    52.5,   0.26,  121.2, D,   -,    D,        ,  , 13.57, 14.23,           ,    104.9, t-, München Obermenzing                            , exit Augsburg Ost
{I N S-Bahn
